geoid,irrigated_share,source_text
00000,0.34600000000000003,34.60
01001,,(D)
01003,0.2079,20.79
01005,0.3933,39.33
01007,0.0,0.00
01009,,(D)
01011,0.0,0.00
01013,0.0,0.00
01015,0.0,0.00
01017,,(D)
01019,0.023,2.30
01021,0.0,0.00
01023,,(D)
01025,,(D)
01027,0.0,0.00
01029,0.0,0.00
01031,0.0349,3.49
01033,,(D)
01035,0.0,0.00
01037,0.0,0.00
01039,0.0,0.00
01041,,(D)
01043,0.0,0.00
01045,,(D)
01047,0.163,16.30
01049,0.0,0.00
01051,,(D)
01053,,(D)
01055,0.22440000000000002,22.44
01057,0.0,0.00
01059,,(D)
01061,0.0659,6.59
01063,0.0,0.00
01065,,(D)
01067,0.1588,15.88
01069,0.0895,8.95
01071,0.0,0.00
01073,0.0,0.00
01075,,(D)
01077,0.0,0.00
01079,0.0678,6.78
01081,,(D)
01083,0.2482,24.82
01085,,(D)
01087,0.1895,18.95
01089,0.1249,12.49
01091,0.0731,7.31
01093,0.0,0.00
01095,0.0,0.00
01097,0.0,0.00
01099,,(D)
01101,,(D)
01103,0.0,0.00
01105,0.1485,14.85
01107,,(D)
01109,,(D)
01111,0.0,0.00
01113,,(D)
01115,0.0,0.00
01117,,(D)
01119,0.0,0.00
01121,,(D)
01123,0.0,0.00
01125,0.0,0.00
01127,,(D)
01129,,(D)
01131,0.0,0.00
01133,0.0,0.00
02010,0.0,0.00
02020,0.0,0.00
02090,0.0,0.00
02110,0.0,0.00
02122,0.0,0.00
04001,0.0,0.00
04003,1.0,100.00
04005,0.0,0.00
04007,0.0,0.00
04009,1.0,100.00
04011,0.0,0.00
04012,1.0,100.00
04013,1.0,100.00
04015,0.0,0.00
04017,0.0,0.00
04019,1.0,100.00
04021,1.0,100.00
04023,0.0,0.00
04025,0.0,0.00
04027,1.0,100.00
05001,0.0,0.00
05003,,(D)
05005,0.0,0.00
05007,0.0,0.00
05009,0.0,0.00
05011,0.0,0.00
05013,0.0,0.00
05015,0.0,0.00
05017,0.9547,95.47
05019,,(D)
05021,0.8802,88.02
05023,0.0,0.00
05025,0.0,0.00
05027,0.0,0.00
05029,0.0,0.00
05031,,(D)
05033,0.0,0.00
05035,,(D)
05037,,(D)
05039,0.0,0.00
05041,0.9490000000000001,94.90
05043,,(D)
05045,0.0,0.00
05047,0.0,0.00
05049,0.0,0.00
05051,0.0,0.00
05053,0.0,0.00
05055,,(D)
05057,0.0,0.00
05059,0.0,0.00
05061,0.0,0.00
05063,,(D)
05065,0.0,0.00
05067,,(D)
05069,,(D)
05071,0.0,0.00
05073,0.6097,60.97
05075,0.0,0.00
05077,0.799,79.90
05079,0.5755,57.55
05081,,(D)
05083,0.0,0.00
05085,1.0,100.00
05087,0.0,0.00
05089,0.0,0.00
05091,0.9668000000000001,96.68
05093,0.8754000000000001,87.54
05095,,(D)
05097,0.0,0.00
05099,0.0,0.00
05101,0.0,0.00
05103,0.0,0.00
05105,0.0,0.00
05107,0.6801999999999999,68.02
05109,0.0,0.00
05111,0.903,90.30
05113,0.0,0.00
05115,0.0,0.00
05117,,(D)
05119,,(D)
05121,0.0,0.00
05123,0.7679,76.79
05125,0.0,0.00
05127,0.0,0.00
05129,0.0,0.00
05131,0.0,0.00
05133,0.0,0.00
05135,0.0,0.00
05137,0.0,0.00
05139,,(D)
05141,0.0,0.00
05143,0.0,0.00
05145,,(D)
05147,,(D)
05149,0.0,0.00
06001,0.0,0.00
06003,0.0,0.00
06005,0.0,0.00
06007,0.0,0.00
06009,0.0,0.00
06011,0.0,0.00
06013,,(D)
06015,0.0,0.00
06017,0.0,0.00
06019,1.0,100.00
06021,,(D)
06023,0.0,0.00
06025,,(D)
06027,0.0,0.00
06029,1.0,100.00
06031,1.0,100.00
06033,0.0,0.00
06035,0.0,0.00
06037,0.0,0.00
06039,,(D)
06041,0.0,0.00
06043,0.0,0.00
06045,0.0,0.00
06047,1.0,100.00
06049,0.0,0.00
06051,0.0,0.00
06053,0.0,0.00
06055,0.0,0.00
06057,0.0,0.00
06059,0.0,0.00
06061,0.0,0.00
06063,0.0,0.00
06065,1.0,100.00
06067,0.0,0.00
06069,0.0,0.00
06071,0.0,0.00
06073,0.0,0.00
06075,0.0,0.00
06077,0.0,0.00
06079,0.0,0.00
06081,0.0,0.00
06083,0.0,0.00
06085,0.0,0.00
06087,0.0,0.00
06089,0.0,0.00
06091,0.0,0.00
06093,0.0,0.00
06095,0.0,0.00
06097,0.0,0.00
06099,0.0,0.00
06101,0.0,0.00
06103,0.0,0.00
06105,0.0,0.00
06107,1.0,100.00
06109,0.0,0.00
06111,0.0,0.00
06113,,(D)
06115,0.0,0.00
08001,0.0,0.00
